city,state_abbr,zip,status,access,network,latitude,longitude,id_number,owner,fed_agency_type,fed_agency_name,ev_connector_types
San Francisco,CA,94112,E,Public,ChargePoint Network,37.7238702,-122.4546242,50062,,,,J1772
Minneapolis,MN,55403,E,Public,,44.9698324,-93.2778249,60310,LG,,,NEMA520
San Diego,CA,92130,E,Public,,32.926682,-117.2173799,70884,LG,,,J1772
Chula Vista,CA,92220,E,Public - Card key at all times,SemaCharge Network,32.6276409,-117.088748,71577,,,,J1772
Manhattan Beach,CA,90266,E,Public - Card key at all times,eVgo Network,33.90143967,-118.3852615,70768,,,,J1772
Hudson Oaks,TX,76087,E,Public - Card key at all times,eVgo Network,32.75774,-97.71054,50410,P,,,J1772 CHADEMO
Lodi,CA,95242,E,Public,,38.1155339,-121.2889381,51921,LG,,,J1772
Portland,OR,97086,E,Public,Blink Network,45.508692,-122.774947,45026,,,,J1772
Fairview,TX,75069,E,Public,Blink Network,33.13232,-96.64707,48788,,,,J1772
Wexford,PA,15090,E,Public - Call ahead,,40.610479,-80.053036,47796,P,,,J1772 CHADEMO
McAllen,TX,78501,E,Public - Call ahead,,26.2067894,-98.203314,47533,P,,,J1772
Pembroke Pines,FL,33024,E,Private,,26.007358,-80.263072,47672,P,,,J1772
Staunton,VA,24401,E,Private,,38.1185725,-79.0687636,47576,P,,,J1772
Las Vegas,NV,89149,E,Public - Card key at all times,eVgo Network,36.27248764,-115.2640533,74853,,,,J1772COMBO
New York,NY,10019,E,Public,GE WattStation,40.768946,-73.98415,72950,,,,J1772
Raleigh,NC,27601,E,Private,,35.872238,-78.641278,40749,LG,,,NEMA520 J1772
Sandy,OR,97055,E,Public,,45.4033135,-122.2857609,63646,P,,,J1772
Bellmawr,NJ,8031,E,Public,Blink Network,39.8665027,-75.0775904,51808,,,,J1772
Atlantic City,NJ,8401,E,Public,Blink Network,39.382109,-74.449067,52574,,,,J1772
Minden,NV,89423,E,Public,ChargePoint Network,38.9536037,-119.7635117,60173,,,,J1772
Fullerton,CA,92831,E,Public,ChargePoint Network,33.8794587,-117.883179,61092,,,,CHADEMO
Boulder,CO,80301,E,Public,ChargePoint Network,40.0285291,-105.2426392,66649,,,,J1772
Augusta,GA,30901,E,Public,Tesla,33.4784043,-81.9671228,72058,P,,,TESLA
Portsmouth,NH,3801,E,Private,,43.0772236,-70.7851839,44308,P,,,J1772
Asheville,NC,28806,E,Private,,35.55555,-82.601481,48679,T,,,J1772
Las Vegas,NV,89141,E,Public - Card key at all times,eVgo Network,35.98355484,-115.1912003,75380,,,,J1772COMBO
St. Louis,MO,63166,E,Private,,38.622711,-90.209564,41843,P,,,NEMA520 J1772
Riverside,CA,92507,E,Public,ChargePoint Network,33.9700931,-117.3271078,53071,,,,J1772
Ventura,CA,93003,E,Public,,34.268,-119.2492,21608,P,,,J1772
Madison,WI,53711,E,Public,ChargePoint Network,43.0660286,-89.4151993,41522,,,,NEMA520 J1772
Lawrence,KS,66047,E,Public,ChargePoint Network,38.9419594,-95.2893448,49675,,,,J1772
Portland,OR,97211,E,Public,Blink Network,45.594995,-122.635197,51818,,,,J1772
Bel Air,MD,21014,E,Public - Card key at all times,SemaCharge Network,39.5416769,-76.3300768,42980,,,,J1772
Brooklyn,NY,11229,E,Public,ChargePoint Network,40.6015954,-73.9346045,67704,,,,J1772
Shingletown,CA,96088,E,Public,Tesla,40.511228,-121.812163,70339,P,,,TESLA
Manhattan,NY,10028,E,Public,ChargePoint Network,40.7778702,-73.9571915,38825,,,,NEMA520 J1772
Vero Beach,FL,32960,E,Public,,27.6207683,-80.3939826,67288,T,,,J1772
Riverside,CA,92501,E,Public - Card key at all times,eVgo Network,33.98275757,-117.3731232,72668,,,,J1772
Palm Springs,CA,92262,E,Public,,33.8262181,-116.5380375,52528,LG,,,J1772
Black Mountain,NC,28711,E,Public,,35.619218,-82.320192,47189,LG,,,J1772
Riverside,CA,92501,E,Public,ChargePoint Network,33.9775683,-117.3750517,7205,,,,J1772
Destin,FL,32541,E,Public,,30.390205,-86.426185,64934,P,,,J1772
Naples,FL,34109,E,Public - Call ahead,,26.2100255,-81.7441206,46617,P,,,J1772
Detroit,MI,48201,E,Public,ChargePoint Network,42.3521965,-83.0568269,71504,,,,J1772
San Mateo,CA,94404,E,Public,ChargePoint Network,37.5561532,-122.2881176,74072,,,,J1772
Bellevue,WA,98007,E,Public,Blink Network,47.611519,-122.182197,50914,,,,J1772
Philadelphia,PA,19140,E,Public,Blink Network,40.005165,-75.1532359,52815,,,,J1772
Manhattan,NY,10016,E,Public,ChargePoint Network,40.7444153,-73.9754868,38835,,,,NEMA520 J1772
